Serial # in Treebank,Citation,Greek text,English,Lemmas,,,,,,,,,,,,,,,,,,,,,,Serial # in Treebank,Citation,Greek text,English,Lemmas
2274106,1.1-1.7,"[1.1] μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος [1.2] οὐλομένην, ἣ μυρί᾽ Ἀχαιοῖς ἄλγε᾽ ἔθηκε, [1.3] πολλὰς δ᾽ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν [1.4] ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν [1.5] οἰωνοῖσί τε πᾶσι, Διὸς δ᾽ ἐτελείετο βουλή, [1.6] ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε [1.7] Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.","The wrath sing, goddess, of Peleus' son, Achilles, that destructive wrath which brought countless woes upon the Achaeans, and sent forth to Hades many valiant souls of heroes, and made them themselves spoil for dogs and every bird; thus the plan of Zeus came to fulfillment, from the time when 1 first they parted in strife Atreus' son, king of men, and brilliant Achilles.",μῆνις ἀείδω θεά Πηληιάδης Ἀχιλλεύς οὐλόμενος ὅς μυρίος Ἀχαιός ἄλγος τίθημι πολύς δέ ἴφθιμος ψυχή οτηερ προιάπτω ἥρως αὐτός δέ ἑλώριον τεύχω κύων οἰωνός τε πᾶς Ζεύς δέ τελέω βουλή ἐκ ὅς δή ὁ πρῶτος διίστημι ἐρίζω Ἀτρείδης τε ἄναξ ἀνήρ καί δῖος Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2274107,1.8,[1.8] τίς τ᾽ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,Who then of the gods was it that brought these two together to contend?,τίς τε ἄρα σφεῖς θεός ἔρις συνίημι μάχομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274108,1.9,[1.9] Λητοῦς καὶ Διὸς υἱός: [0],The son of Leto and Zeus;,Λητώ καί Ζεύς υἱός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274109,1.9-1.12,"[1.9] ὃ γὰρ βασιλῆϊ χολωθεὶς [1.10] νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί, [1.11] οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα [1.12] Ἀτρεΐδης:","for he in anger against the king roused throughout the host an evil pestilence, and the people began to perish, because upon the priest Chryses the son of Atreus had wrought dishonour.",ὁ γάρ βασιλεύς χολόω νόσος ἀνά στρατός ὄρνυμι κακός ὀλέκω δέ λαός οὕνεκα ὁ Χρύσης ἀτιμάζω ἀρητήρ Ἀτρείδης,,,,,,,,,,,,,,,,,,,,,,,,,,
2274110,1.12-1.16,"[1.12] ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν [1.13] λυσόμενός τε θύγατρα φέρων τ᾽ ἀπερείσι᾽ ἄποινα, [1.14] στέμματ᾽ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος [1.15] χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς, [1.16] Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν:","For he had come to the swift ships of the Achaeans to free his daughter, bearing ransom past counting; and in his hands he held the wreaths of Apollo who strikes from afar, 2 on a staff of gold; and he implored all the Achaeans, but most of all the two sons of Atreus, the marshallers of the people:",ὁ γάρ ἔρχομαι θοός ἐπί ναῦς Ἀχαιός λύω τε θυγάτηρ φέρω τε ἀπερείσιος ἄποινα στέμμα ἔχω ἐν χείρ ἑκηβόλος Ἀπόλλων χρύσεος ἀνά σκῆπτρον καί λίσσομαι πᾶς Ἀχαιός Ἀτρείδης δέ μάλιστα δύο κοσμήτωρ λαός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274111,1.17-1.19,"[1.17] Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί, [1.18] ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ᾽ ἔχοντες [1.19] ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ᾽ οἴκαδ᾽ ἱκέσθαι:","Sons of Atreus, and other well-greaved Achaeans, to you may the gods who have homes upon Olympus grant that you sack the city of Priam, and return safe to your homes;",Ἀτρείδης τε καί ἄλλος ἐυκνήμις Ἀχαιός σύ μέν θεός δίδωμι Ὀλύμπιος δῶμα ἔχω ἐκπέρθω Πρίαμος πόλις εὖ δέ οἴκαδε ἱκνέομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274112,1.20-1.21,"[1.20] παῖδα δ᾽ ἐμοὶ λύσαιτε φίλην, τὰ δ᾽ ἄποινα δέχεσθαι, [1.21] ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα. [0]","but my dear child release to me, and accept the ransom out of reverence for the son of Zeus, Apollo who strikes from afar.",παῖς δέ ἐγώ λύω φίλος ὁ δέ ἄποινα δέχομαι ἅζομαι Ζεύς υἱός ἑκηβόλος Ἀπόλλων,,,,,,,,,,,,,,,,,,,,,,,,,,
2274113,1.22-1.23,[1.22] ἔνθ᾽ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ [1.23] αἰδεῖσθαί θ᾽ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα:,"Then all the rest of the Achaeans shouted assent, to reverence the priest and accept the glorious ransom,",ἔνθα ἄλλος μέν πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι τε ἱερεύς καί ἀγλαός δέχομαι ἄποινα,,,,,,,,,,,,,,,,,,,,,,,,,,
2274114,1.24-1.25,"[1.24] ἀλλ᾽ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ, [1.25] ἀλλὰ κακῶς ἀφίει, κρατερὸν δ᾽ ἐπὶ μῦθον ἔτελλε:","yet the thing did not please the heart of Agamemnon, son of Atreus, but he sent him away harshly, and laid upon him a stern command:",ἀλλά οὐ Ἀτρείδης Ἀγαμέμνων ἁνδάνω θυμός ἀλλά κακός ἀφίημι κρατερός δέ ἐπί μῦθος τέλλω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274115,1.26-1.28,"[1.26] μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω [1.27] ἢ νῦν δηθύνοντ᾽ ἢ ὕστερον αὖτις ἰόντα, [1.28] μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο:","Let me not find you, old man, by the hollow ships, either tarrying now or coming back later, lest your staff and the wreath of the god not protect you.",μή σύ γέρων κοῖλος ἐγώ παρά ναῦς κιχάνω ἤ νῦν δηθύνω ἤ ὕστερος αὖθις εἶμι μή νῦν σύ οὐ χραισμέω σκῆπτρον καί στέμμα θεός,,,,,,,,,,,,,,,,,,,,,,,,,,
2274116,1.29,[1.29] τὴν δ᾽ ἐγὼ οὐ λύσω:,Her I will not set free.,ὁ δέ ἐγώ οὐ λύω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274117,1.29-1.31,[1.29] πρίν μιν καὶ γῆρας ἔπεισιν [1.30] ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης [1.31] ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν:,"Sooner shall old age come upon her in our house, in Argos , far from her native land, as she walks to and fro before the loom and serves my bed.",πρίν μιν καί γῆρας ἔπειμι2 ἡμέτερος ἐν οἶκος ἐν Ἄργος τηλόθι πάτρη ἱστός ἐποίχομαι καί ἐμός λέχος ἀντιάω,,,,,,,,,,,,,,,,,,,,,,,,,,
2274118,1.32,[1.32] ἀλλ᾽ ἴθι μή μ᾽ ἐρέθιζε σαώτερος ὥς κε νέηαι. [0],"But go, do not anger me, that you may return the safer.",ἀλλά εἶμι μή ἐγώ ἐρεθίζω σῶς ὡς ἄν νέομαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2274119,1.33,"[1.33] ὣς ἔφατ᾽, ἔδεισεν δ᾽ ὃ γέρων καὶ ἐπείθετο μύθῳ:","So he spoke, and the old man was seized with fear and obeyed his word.",ὡς φημί δείδω δέ ὁ γέρων καί πείθω μῦθος,,,,,,,,,,,,,,,,,,,,,,,,,,
2274120,1.34,[1.34] βῆ δ᾽ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης:,"He went forth in silence along the shore of the loud-resounding sea,",βαίνω δέ ἀκέων παρά θίς πολύφλοισβος θάλασσα,,,,,,,,,,,,,,,,,,,,,,,,,,
